Temperature,Humidity,Wind Speed,Pressure,Precipitation,State,Month,Year,RainFall,Visitors
7.935483871,46.29032258,6.483870968,30.12387097,0.980645161,himachal-pradesh,january,2015,67.5,13760.8596
11.39285714,52.75,6.428571429,30.06,1.539285714,himachal-pradesh,february,2015,145.9,13241.5218
14.4516129,53.0,7.935483871,30.0183871,3.709677419,himachal-pradesh,march,2015,191.0,12687.2796
19.9,47.3,8.066666667,29.896,1.716666667,himachal-pradesh,april,2015,81.8,9422.9874
25.41935484,33.29032258,9.032258065,29.81193548,0.877419355,himachal-pradesh,may,2015,42.4,8871.720599999999
25.46666667,46.73333333,7.8,29.7,1.863333333,himachal-pradesh,june,2015,87.9,8914.7334
23.06451613,82.83870968,4.516129032,29.64806452,10.15806452,himachal-pradesh,july,2015,260.6,10932.8202
22.32258065,85.67741935,4.677419355,29.72645161,7.1,himachal-pradesh,august,2015,215.7,10430.9172
21.5,62.8,6.566666667,29.837,2.72,himachal-pradesh,september,2015,74.0,9441.24
17.90322581,46.87096774,6.322580645,30.00741935,0.093548387,himachal-pradesh,october,2015,17.3,11889.176399999998
13.8,49.0,5.866666667,30.067,0.093333333,himachal-pradesh,november,2015,13.1,14197.4778
9.419354839,39.96774194,6.129032258,30.10354839,0.24516129,himachal-pradesh,december,2015,25.9,15881.3802
13.64516129,34.25806452,6.161290323,30.10451613,0.558064516,jammu-and-kashmir,january,2015,27.9,5694.1488
17.10714286,47.92857143,7.607142857,30.02714286,1.95,jammu-and-kashmir,february,2015,187.2,5479.250400000001
20.67741935,47.12903226,9.032258065,29.98354839,2.74516129,jammu-and-kashmir,march,2015,341.4,5249.9088
27.56666667,35.1,8.533333333,29.84333333,1.183333333,jammu-and-kashmir,april,2015,173.3,3899.1672
34.19354839,20.51612903,8.516129032,29.74032258,0.203225806,jammu-and-kashmir,may,2015,64.6,3671.0568
35.13333333,27.3,8.9,29.627,0.4,jammu-and-kashmir,june,2015,121.4,3688.8552
33.03225806,52.93548387,6.741935484,29.56580645,2.322580645,jammu-and-kashmir,july,2015,233.2,4523.9256
31.67741935,59.67741935,6.096774194,29.65,2.158064516,jammu-and-kashmir,august,2015,129.2,4316.241599999999
29.9,40.53333333,7.133333333,29.78333333,3.336666667,jammu-and-kashmir,september,2015,130.2,3906.72
26.06451613,31.77419355,6.483870968,29.96290323,0.103225806,jammu-and-kashmir,october,2015,87.2,4919.6592
20.93333333,27.4,6.866666667,30.044,0.093333333,jammu-and-kashmir,november,2015,37.9,5874.8184
15.77419355,29.64516129,6.290322581,30.09483871,0.393548387,jammu-and-kashmir,december,2015,39.3,6571.605599999999
18.67741935,53.4516129,7.806451613,30.03193548,0.283870968,jharkhand,january,2015,12.2,1977.135
23.57142857,38.53571429,7.892857143,29.96071429,0.046428571,jharkhand,february,2015,2.6,1902.5175
27.51612903,32.16129032,9.806451613,29.89806452,0.270967742,jharkhand,march,2015,21.6,1822.885
32.33333333,33.43333333,10.56666667,29.754,0.76,jharkhand,april,2015,55.5,1353.8775
36.25806452,30.4516129,11.41935484,29.63935484,0.180645161,jharkhand,may,2015,25.5,1274.6725
32.3,53.56666667,13.56666667,29.558,3.506666667,jharkhand,june,2015,182.3,1280.8525
28.09677419,78.12903226,13.32258065,29.55322581,7.641935484,jharkhand,july,2015,429.1,1570.8075
28.12903226,78.03225806,12.70967742,29.62774194,3.883870968,jharkhand,august,2015,245.5,1498.695
27.86666667,72.26666667,9.766666667,29.71366667,2.036666667,jharkhand,september,2015,85.0,1356.5
25.90322581,61.61290323,6.677419355,29.88258065,0.377419355,jharkhand,october,2015,22.3,1708.215
23.43333333,54.03333333,6.633333333,29.953,0.006666667,jharkhand,november,2015,0.2,2039.8675
20.0,53.61290323,7.322580645,30.00677419,0.587096774,jharkhand,december,2015,3.8,2281.8075
25.25806452,43.58064516,14.25806452,29.94612903,0.009677419,karnataka,january,2015,2.0,21590.3142
27.96428571,32.53571429,14.39285714,29.91535714,0.0,karnataka,february,2015,0.2,20775.4911
31.16129032,35.93548387,12.0,29.8683871,0.212903226,karnataka,march,2015,26.3,19905.9042
33.2,39.23333333,12.06666667,29.80266667,0.323333333,karnataka,april,2015,65.2,14784.3423
33.19354839,50.25806452,16.93548387,29.76806452,1.096774194,karnataka,may,2015,91.8,13919.4237
27.6,69.23333333,26.46666667,29.741,3.603333333,karnataka,june,2015,208.1,13986.9093
27.4516129,67.67741935,27.12903226,29.77677419,0.629032258,karnataka,july,2015,139.1,17153.2179
27.22580645,71.06451613,21.74193548,29.79677419,1.783870968,karnataka,august,2015,149.4,16365.7494
27.0,73.23333333,15.13333333,29.80966667,1.39,karnataka,september,2015,168.1,14812.98
27.90322581,62.06451613,12.16129032,29.87548387,1.883870968,karnataka,october,2015,92.6,18653.7078
26.2,66.13333333,15.33333333,29.889,0.153333333,karnataka,november,2015,78.6,22275.3531
26.35483871,54.96774194,13.38709677,29.93419355,0.019354839,karnataka,december,2015,3.6,24917.3379
27.09677419,66.19354839,6.290322581,29.92096774,0.029032258,kerala,january,2015,3.1,33136.782600000006
28.46428571,59.71428571,7.107142857,29.90071429,0.271428571,kerala,february,2015,5.8,31886.1933
29.51612903,68.61290323,5.483870968,29.87387097,2.303225806,kerala,march,2015,50.1,30551.552600000003
29.63333333,75.63333333,5.433333333,29.829,6.48,kerala,april,2015,214.0,22690.986900000004
28.19354839,83.41935484,5.967741935,29.80387097,6.703225806,kerala,may,2015,201.8,21363.511100000003
26.66666667,84.1,6.566666667,29.79733333,7.0,kerala,june,2015,563.8,21467.0879
26.4516129,83.96774194,7.032258065,29.82548387,3.012903226,kerala,july,2015,406.2,26326.7337
26.87096774,83.22580645,7.612903226,29.82806452,3.177419355,kerala,august,2015,252.2,25118.128200000003
26.9,82.63333333,6.033333333,29.828,5.803333333,kerala,september,2015,293.4,22734.94
27.51612903,80.32258065,5.161290323,29.86806452,4.338709677,kerala,october,2015,309.9,28629.6834
26.73333333,80.76666667,5.866666667,29.848,5.006666667,kerala,november,2015,223.2,34188.1793
27.41935484,71.41935484,8.290322581,29.89451613,1.961290323,kerala,december,2015,79.5,38243.093700000005
18.64516129,54.35483871,6.322580645,30.03,0.3,madhya-pradesh,january,2015,38.9,14314.4574
24.92857143,40.07142857,6.607142857,29.94785714,0.146428571,madhya-pradesh,february,2015,8.4,13774.2267
28.51612903,34.32258065,6.35483871,29.89290323,1.670967742,madhya-pradesh,march,2015,62.3,13197.6874
